label,cityLabel,countryLabel
纽埃国歌,Ko e Iki he Lagi,Niue
皇家法令进行曲,Marcia Reale,Kingdom of Italy
哦 上帝，斯威士人祝福的賜予者,Nkulunkulu Mnikati wetibusiso temaSwati,Swaziland
庫拉索之歌,Himno di Kòrsou,Curaçao
马耳他颂,L-Innu Malti,Malta
滿洲國國歌,National Anthem of Manchukuo,Manchukuo
联合共和国,National anthem of Yemen,Yemen
保佑这高尚的土地,Fatshe leno la rona,Botswana
沙特阿拉伯国歌,National Anthem of Saudi Arabia,Saudi Arabia
德意志奥地利，美妙的国度,"Deutschösterreich, du herrliches Land",First Republic of Austria
黎巴嫩国歌,Lebanese National Anthem,Lebanon
苏丹之歌,Nashid as-Salaam as-Sultani,Oman
美丽的安提瓜，我们向您致敬,"Fair Antigua, We Salute Thee",Antigua and Barbuda
摩纳哥颂,Hymne Monégasque,Monaco
哦，苏珊娜,Oh! Susanna,United States of America
利比亚，利比亚，利比亚,"Libya, Libya, Libya",Libya
德意志之歌,Das Lied der Deutschen,Germany
解放南方,Giải phóng miền Nam,Provisional Revolutionary Government of the Republic of South Vietnam
国歌,Tautiška giesmė,Lithuania
鞑靼斯坦共和国国歌,National Anthem of the Republic of Tatarstan,Russia
巴亚莫之歌,La Bayamesa,Cuba
南非國歌,National anthem of South Africa,South Africa
中華民國國旗歌,National Flag Anthem,Taiwan
伦敦德里小调,Londonderry Air,United Kingdom
斯里兰卡國歌,Sri Lanka Matha,Sri Lanka
牢不可破的联盟,National Anthem of the Soviet Union,Soviet Union
对！我们热爱祖国,"Ja, vi elsker dette landet",Norway
白俄罗斯苏维埃社会主义共和国国歌,Anthem of the Byelorussian Soviet Socialist Republic,Belarus
毛里塔尼亚国歌,National anthem of Mauritania,Mauritania
我的哈薩克,Meniñ Qazaqstanım,Kazakhstan
向您致敬，尼加拉瓜,"Salve a ti, Nicaragua",Nicaragua
存活下来，新俄罗斯！,"Zhivi, Novorossiya!",Novorossiya (Union of People's Republics)
和平的赞歌,As Salam al Amiri,Qatar
秘鲁国歌,National Anthem of Peru,Peru
Your Love Is My Drug,Your Love Is My Drug,United States of America
士兵进行曲,Vajacki marš,Belarusian People's Republic
中華民國國歌,National Anthem of the Republic of China,Taiwan
伊帕內瑪姑娘,The Girl from Ipanema,Brazil
布拉班人之歌,The Brabançonne,Belgium
君之代,Kimi Ga Yo,Japan
塔特洛山上电光闪闪,Nad Tatrou sa blýska,Slovakia
国际歌,The Internationale,Russian Soviet Federative Socialist Republic
啊，加拿大,O Canada,Canada
小區一圈,Q900935,Netherlands
俄羅斯國歌,State Anthem of the Russian Federation,Russia
国际歌,The Internationale,Soviet Union
天佑女王,God Save the Queen,United Kingdom
独立进行曲,İstiklâl Marşı,Turkey
波斯尼亚和黑塞哥维那国歌,National Anthem of Bosnia and Herzegovina,Bosnia and Herzegovina
祖国,Motherland,Mauritius
亲爱的父母邦,Mila Rodino,Bulgaria
自由之歌,Cântico da Liberdade,Cape Verde
正義的上帝,Bože Pravde,Serbia
以自由之愛鑄成,Forged from the Love of Liberty,Trinidad and Tobago
嘿，敌人,Ey Reqîb,Iraqi Kurdistan
三色旗,Trei culori,Socialist Republic of Romania
直布羅陀之歌,Gibraltar Anthem,United Kingdom
雪球花,Kalinka,Russia
山的土地，河的土地,"Land der Berge, Land am Strome",Austria
希望曲,Hatikvah,Israel
胜利 (歌曲),Aiaaira,Abkhazia
巴西國歌,Brazilian National Anthem,Brazil
在年輕的萊因河上,Oben am jungen Rhein,Liechtenstein
亞塞拜然進行曲,Azərbaycan marşı,Azerbaijan
伊朗伊斯兰共和国国歌,National Anthem of the Islamic Republic of Iran,Iran
伟大的查理曼，我的父亲,El Gran Carlemany,Andorra
南苏丹万岁！,South Sudan Oyee!,South Sudan
進軍歌,Tiến quân ca,Vietnam
立陶宛苏维埃社会主义共和国国歌,Anthem of the Lithuanian Soviet Socialist Republic,Lithuanian Soviet Socialist Republic
安哥拉前进,Angola Avante,Angola
吉布地國歌,Djibouti,Djibouti
