label,cityLabel,countryLabel
下午報,Jornal A Tarde,Brazil
Politico雜誌,Politico,United States of America
坦姆賽德廣告人報,Tameside Advertiser,United Kingdom
国土报,Haaretz,Israel
慕尼黑晚报,Abendzeitung,Germany
查理周刊,Charlie Hebdo,France
以色列時報,The Times of Israel,Israel
衛報,The Guardian,United Kingdom
邁阿密先驅報,Miami Herald,United States of America
杜斯卡洛薩報,The Tuscaloosa News,United States of America
民主報,The Press Democrat,United States of America
滑鐵盧區紀事報,Waterloo Region Record,Canada
卡加利太陽報,Calgary Sun,Canada
新報 (克羅埃西亞),Novi list,Croatia
帝國郵報,The Mail and Empire,Canada
国会山报,The Hill,United States of America
斯圖加特日報,Stuttgarter Zeitung,Germany
中间报,Al-Wasat,Bahrain
法兰克福汇报,Frankfurter Allgemeine Zeitung,Germany
羅諾克時報,The Roanoke Times,United States of America
基督科学箴言报,The Christian Science Monitor,United States of America
世界新闻报,News of the World,United Kingdom
科学美国人,Scientific American,United States of America
傳訊者和提倡者,Messenger and Advocate,United States of America
國家時代報,National Zeitung,Germany
哥伦比亚每日观察家,Columbia Daily Spectator,United States of America
每日資訊報,Dagbladet Information,Denmark
新曙光報,Yeni Şafak,Turkey
村聲,The Village Voice,United States of America
费加罗报,Le Figaro,France
註冊者,The Register,United Kingdom
巴塞爾日報,Basler Zeitung,Switzerland
聖保羅新聞,São Paulo Shimbun,Brazil
夜與晨星,The Evening and the Morning Star,United States of America
人民日报,People's Daily,People's Republic of China
Solidot,Solidot,People's Republic of China
法蘭克福評論報,Frankfurter Rundschau,Germany
薩巴托水晶球,Sabato's Crystal Ball,United States of America
洛杉磯先驅報,Los Angeles Herald-Examiner,United States of America
巴尔的摩太阳报,The Baltimore Sun,United States of America
紐約論壇報,New-York Tribune,United States of America
自由報 (土耳其),Hürriyet,Turkey
溫哥華太陽報,The Vancouver Sun,Canada
林肯星報,Lincoln Journal Star,United States of America
時代瑣聞報,The Times-Picayune,United States of America
星島日報,Sing Tao Daily,Canada
紐約前鋒論壇報,New York Herald Tribune,United States of America
勞動新聞,Rodong Sinmun,North Korea
舞台,The Stage,United Kingdom
魁北克太陽報,Le Soleil,Canada
長老期刊,Elders' Journal,United States of America
國民報 (泰國),The Nation,Thailand
世纪报,The Age,Australia
每日新聞報,The Daily News,United States of America
日系新聞,Nikkey Shimbun,Brazil
二十世紀報 (報紙),Le XXe Siècle,Belgium
安德森谷廣告人報,Anderson Valley Advertiser,United States of America
今日美國,USA Today,United States of America
赫芬顿邮报,HuffPost,United States of America
星暹日報,Q6577618,Thailand
Street Sense,Street Sense,United States of America
Ádahooníłígíí,Ádahooníłígíí,United States of America
快遞郵報,The Courier-Mail,Australia
巴爾的摩市報,Baltimore City Paper,United States of America
波士頓先驅報,Boston Herald,United States of America
南洋商报,Nanyang Siang Pau,Malaysia
法爾科克先驅報,Falkirk Herald,United Kingdom
伯明罕郵報,Birmingham Mail,United Kingdom
队报,L'Équipe,France
日报,Die Tageszeitung,Germany
纽约新闻报,New York Journal-American,United States of America
上海犹太纪事报,Shanghai Jewish Chronicle,People's Republic of China
忠誠報,Trouw,Netherlands
密歇根日報,The Michigan Daily,United States of America
一針見血報,Kom Chad Luek,Thailand
真理报,Pravda,Russia
烏克蘭真相,Ukrayinska Pravda,Ukraine
馬卡報,Marca,Spain
真理报,Pravda,Soviet Union
人民自由报,Népszabadság,Hungary
激进报,Rizospastis,Greece
波士頓鳳凰報,The Phoenix,United States of America
鹽湖城論壇報,The Salt Lake Tribune,United States of America
俄勒岡Live.com,OregonLive.com,United States of America
奧馬哈世界前鋒報,Omaha World-Herald,United States of America
斯科特堡論壇報,Fort Scott Tribune,United States of America
泰國日報,Thai Rath,Thailand
每日新聞 (泰國),Daily News,Thailand
夏洛特觀察家報,The Charlotte Observer,United States of America
曼徹斯特晚報,Manchester Evening News,United Kingdom
北方回声报,The Northern Echo,United Kingdom
時代報,Zaman,Turkey
漢彌爾頓觀察報,The Hamilton Spectator,Canada
印度教徒報,The Hindu,India
芝加哥時報,Chicago Times,United States of America
廣告人報 (本迪戈),Bendigo Advertiser,Australia
泰國郵報,Thai Post,Thailand
紐約前鋒報,New York Herald,United States of America
本德公報,The Bulletin,United States of America
华尔街日报,The Wall Street Journal,United States of America
信使,Le Courrier,Switzerland
日報 (保加利亞),Dnevnik,Bulgaria
多倫多帝國報,Toronto Empire,Canada
新聞領導報,The Richmond News Leader,United States of America
国家报,El País,Spain
南德意志报,Süddeutsche Zeitung,Germany
纽约时报,The New York Times,United States of America
星期日泰晤士報,The Sunday Times,United Kingdom
红旗,red flag,Armenia
北京青年报,Beijing Youth Daily,People's Republic of China
解放軍報,PLA Daily,People's Republic of China
費城週報,Philadelphia Weekly,United States of America
中国报,China Press,Malaysia
多倫多太陽報,Toronto Sun,Canada
曼谷郵報,Bangkok Post,Thailand
理性報 (馬德里),La Razón,Spain
太阳报,The Sun,United States of America
考文垂電訊報,Coventry Telegraph,United Kingdom
新德国,Neues Deutschland,Germany
香巴拉太陽,Shambhala Sun,Canada
紐約郵報,New York Post,United States of America
康特拉科斯塔時報,Contra Costa Times,United States of America
季隆廣告報,Geelong Advertiser,Australia
华盛顿邮报,The Washington Post,United States of America
新德国,Neues Deutschland,East Germany
雪梨晨鋒報,Sydney Morning Herald,Australia
挪威晚邮报,Aftenposten,Norway
莫斯科共青團報,Moskovskij Komsomolets,Russia
聖保羅州報,O Estado de São Paulo,Brazil
阿拉斯加商務報,Alaska Journal of Commerce,United States of America
黃昏日報,Le Soir,Belgium
世界外交論衡月刊,Le Monde diplomatique,France
柏林日報,Berliner Zeitung,Germany
西雅图时报,The Seattle Times,United States of America
今日以色列,Israel Hayom,Israel
多倫多郵報,The Toronto Mail,Canada
洛杉磯時報,Los Angeles Times,United States of America
時代晚報,Evening Times,United Kingdom
巴黎人,Le Parisien,France
華盛頓之星,The Washington Star,United States of America
西北日報,The Daily Northwestern,United States of America
巴爾的摩非裔美國人,Baltimore Afro-American,United States of America
經理人日報,Manager Daily,Thailand
光华日报,Kwong Wah Yit Poh,Malaysia
維也納日報,Wiener Zeitung,Austria
漢堡晚報,Hamburger Abendblatt,Germany
企業報,Territorial Enterprise,United States of America
國家日報,La Nación,Costa Rica
瑞士時報,Le Temps,Switzerland
聖荷西信使報,San Jose Mercury News,United States of America
費城詢問報,The Philadelphia Inquirer,United States of America
聖彼得堡時報,Tampa Bay Times,United States of America
南瑞典日報,Sydsvenskan,Sweden
倫敦憲報,The London Gazette,United Kingdom
紐約太陽報,The New York Sun,United States of America
世界报,El Mundo,Spain
京士頓輝格標準報,Kingston Whig-Standard,Canada
日內瓦論壇報,Tribune de Genève,Switzerland
廣告人報,The Advertiser,Australia
太陽先驅報,Herald Sun,Australia
达拉斯晨报,The Dallas Morning News,United States of America
水牛城新聞,The Buffalo News,United States of America
哈特福時報,Hartford Courant,United States of America
熱門新聞報,Het Laatste Nieuws,Belgium
世界之路報,Verdens Gang,Norway
檀香山星廣報,Honolulu Star-Advertiser,United States of America
多倫多星報,Toronto Star,Canada
快報 (瑞典),Expressen,Sweden
紐約每日新聞,New York Daily News,United States of America
溫尼伯太陽報,Winnipeg Sun,Canada
晨郵報,Correio da Manhã,Portugal
波士頓環球報,The Boston Globe,United States of America
瑞士法語早報,Le Matin,Switzerland
德撒律新聞,Deseret News,United States of America
全國郵報,National Post,Canada
每日电讯报,The Daily Telegraph,Australia
每日星報 (孟加拉國),The Daily Star,Bangladesh
环球邮报,The Globe and Mail,Canada
新苏黎世报,Neue Zürcher Zeitung,Switzerland
密爾瓦基每日衛報,Milwaukee Journal Sentinel,United States of America
青年陣線報,Mladá fronta DNES,Czech Republic
俄勒岡人日報,The Oregonian,United States of America
德國金融時報,Financial Times Deutschland,Germany
洛杉磯日報,Los Angeles Daily News,United States of America
宪报,The Gazette,Canada
人道报,L'Humanité,France
澳洲人報,The Australian,Australia
晚報 (瑞典),Aftonbladet,Sweden
