label,entityLabel,countryLabel
海皮克,High Peak,United Kingdom
"梅迪亞, 賓夕法尼亞州",Media,United States of America
哈克尼區,London Borough of Hackney,United Kingdom
巴金-達格納姆區,London Borough of Barking and Dagenham,United Kingdom
蘭貝斯區,London Borough of Lambeth,United Kingdom
坦布里奇韋爾斯區,Tunbridge Wells,United Kingdom
新荷蘭鎮,New Holland,United States of America
洪斯代爾,Honesdale,United States of America
菲尼克斯維爾,Phoenixville,United States of America
多伊爾斯敦 (賓夕法尼亞州),Doylestown,United States of America
默頓區,London Borough of Merton,United Kingdom
亨丁頓,Huntingdon,United States of America
聖海倫斯都會自治市,St. Helens,United Kingdom
里弗埃居,"River Edge, New Jersey",United States of America
豪士羅區,London Borough of Hounslow,United Kingdom
德爾他,Delta,United States of America
旁蘇托尼,Punxsutawney,United States of America
曼哈頓,Manhattan,United States of America
東盧瑟福,East Rutherford,United States of America
沃金厄姆區,Wokingham,United Kingdom
菲力荷自治市,Freehold Borough,United States of America
聖奧爾本斯市,St. Albans,United Kingdom
霍爾頓,Halton,United Kingdom
布鲁克林区,Brooklyn,United States of America
米爾佛特 (賓夕法尼亞州),Milford,United States of America
沃爾瑟姆福里斯特區,London Borough of Waltham Forest,United Kingdom
史泰登岛,Staten Island,United States of America
韋克菲爾德市,Wakefield,United Kingdom
貝克斯利區,London Borough of Bexley,United Kingdom
卡莱尔,Carlisle,United States of America
威根都市自治市,Metropolitan Borough of Wigan,United Kingdom
坦漢諾克,Tunkhannock,United States of America
帕克斯堂,Paxtang,United States of America
坎特伯雷市,Canterbury,United Kingdom
森特倫,Sentrum,Norway
吉爾福德區,Guildford,United Kingdom
布拉德福德市,Bradford,United Kingdom
巴西爾登區,Basildon,United Kingdom
阿普蘭 (賓夕凡尼亞州),Upland,United States of America
費勒姆區,Fareham,United Kingdom
勒夢因,Lemoyne,United States of America
蓋茨黑德都市自治市,Gateshead,United Kingdom
里茲市,Leeds,United Kingdom
南華克區,London Borough of Southwark,United Kingdom
李奇微,Ridgway,United States of America
特拉福德,Trafford,United Kingdom
格雷夫舍姆,Gravesham,United Kingdom
霍姆斯特德 (賓州),Homestead,United States of America
库茨敦,"Kutztown, Pennsylvania",United States of America
梅德韋,Medway,United Kingdom
巴恩斯利都市自治市,Barnsley,United Kingdom
伊爾福德區,Municipal Borough of Ilford,United Kingdom
蒂斯河畔斯托克頓區,Stockton-on-Tees,United Kingdom
特爾福德和雷金,Telford and Wrekin,United Kingdom
恩波里厄姆,"Emporium, Pennsylvania",United States of America
埃爾伍德市,Ellwood City,United States of America
泰晤士河畔列治文區,London Borough of Richmond upon Thames,United Kingdom
貝德福德區,Bedford,United Kingdom
薩頓區,London Borough of Sutton,United Kingdom
特威德河畔貝里克區,Berwick-upon-Tweed Borough,United Kingdom
安伯瓦利,Amber Valley,United Kingdom
柯林斯伍德,"Collingswood, New Jersey",United States of America
克羅伊登區,London Borough of Croydon,United Kingdom
哈默史密斯-富勒姆區,London Borough of Hammersmith and Fulham,United Kingdom
大雅茅斯區,Great Yarmouth,United Kingdom
切爾姆斯福德區,Chelmsford,United Kingdom
懷爾,Wyre,United Kingdom
托貝,Torbay,United Kingdom
賓州米德爾敦,Middletown,United States of America
邦德溪行政區,Bound Brook,United States of America
皇后區,Queens,United States of America
伊斯林頓倫敦自治市,London Borough of Islington,United Kingdom
卡姆登區,London Borough of Camden,United Kingdom
布羅姆利區,London Borough of Bromley,United Kingdom
希靈登區,London Borough of Hillingdon,United Kingdom
恩菲爾德區,London Borough of Enfield,United Kingdom
雷德布里奇區,London Borough of Redbridge,United Kingdom
貝里都市自治市,Bury,United Kingdom
麥迪遜，新澤西,Madison,United States of America
博爾頓都市自治市,Bolton,United Kingdom
普林斯顿,Princeton,United States of America
哈林蓋區,London Borough of Haringey,United Kingdom
倫敦市,City of London,United Kingdom
達特福德區,Dartford,United Kingdom
李堡 (新澤西州),"Fort Lee, New Jersey",United States of America
北泰因賽德,North Tyneside,United Kingdom
格林威治區,Royal Borough of Greenwich,United Kingdom
布倫特伍德區,Brentwood,United Kingdom
聖克萊爾 (賓夕法尼亞州),St. Clair,United States of America
印第安納,Indiana,United States of America
砂井,Sandwell,United Kingdom
艾恩摩爾 (賓夕法尼亞州),Avonmore,United States of America
坦姆赛德,Tameside,United Kingdom
西敏市,City of Westminster,United Kingdom
華素爾區,Walsall,United Kingdom
哈罗盖特区,Harrogate,United Kingdom
威徹斯特,West Chester,United States of America
雷德班克,Red Bank,United States of America
安茹 (魁北克省),Anjou,Canada
肯辛頓-切爾西區,Royal Borough of Kensington and Chelsea,United Kingdom
達德利區,Dudley,United Kingdom
赫茨米爾,Hertsmere,United Kingdom
阿什福德區,Ashford,United Kingdom
卡爾德達爾,Calderdale,United Kingdom
布朗克斯,The Bronx,United States of America
哈羅區,London Borough of Harrow,United Kingdom
布倫特區,London Borough of Brent,United Kingdom
旺茲沃思區,London Borough of Wandsworth,United Kingdom
紐漢區,London Borough of Newham,United Kingdom
斯托克波特都市自治市,Stockport,United Kingdom
伊靈區,London Borough of Ealing,United Kingdom
劉易舍姆區,London Borough of Lewisham,United Kingdom
阿勒格尼,Allegheny,United States of America
森特勒利亚镇,Centralia,United States of America
赖茨维尔,Wrightsville,United States of America
西柴郡與切斯特,Cheshire West and Chester,United Kingdom
西雷丁,West Reading,United States of America
巴尼特區,London Borough of Barnet,United Kingdom
黑弗靈區,London Borough of Havering,United Kingdom
愛丁波羅,Edinboro,United States of America
克利爾菲 (賓夕法尼亞州),Clearfield,United States of America
莫斯科,Moscow,United States of America
泰晤士河畔京士頓區,Royal Borough of Kingston upon Thames,United Kingdom
威勒爾都會自治市,Wirral,United Kingdom
雷德萊恩,"Red Lion, York County, Pennsylvania",United States of America
柯克利斯,Kirklees,United Kingdom
奧斯汀 (賓夕法尼亞),Austin,United States of America
學院村 (賓夕法尼亞州),Collegeville,United States of America
帕拉莫斯 (紐澤西州),Paramus,United States of America
韦茅斯-波特兰,Weymouth and Portland,United Kingdom
蓋茨堡,Gettysburg,United States of America
卡特萊特 (紐澤西州),Carteret,United States of America
尚克斯維爾鎮,"Shanksville, Pennsylvania",United States of America
伊斯特利區,Eastleigh,United Kingdom
東柴郡,Cheshire East,United Kingdom
希爾營,Camp Hill,United States of America
塞夫頓都會自治市,Sefton,United Kingdom
索爾福德市,Salford,United Kingdom
薩克森堡,Saxonburg,United States of America
薩斯奎漢納車站 (賓夕法尼亞州),Susquehanna Depot,United States of America
麥基斯羅克斯 (賓夕法尼亞州),McKees Rocks,United States of America
埃夫拉塔,Ephrata,United States of America
布里斯托 (賓夕法尼亞州),Bristol,United States of America
東斯特勞斯堡 (賓夕法尼亞州),East Stroudsburg,United States of America
钱伯斯堡,Chambersburg,United States of America
奧克蒙特,Oakmont,United States of America
快樂角 (紐澤西州),Point Pleasant,United States of America
南泰因賽德,South Tyneside,United Kingdom
塔村區,London Borough of Tower Hamlets,United Kingdom
科爾切斯特區,Colchester,United Kingdom
聖潘克拉斯都會自治市,Metropolitan Borough of St Pancras,United Kingdom
唐卡斯特都會自治市,Doncaster,United Kingdom
西諾福克區,King's Lynn and West Norfolk,United Kingdom
东北林肯郡,North East Lincolnshire,United Kingdom
肯辛頓都會自治市,Metropolitan Borough of Kensington,United Kingdom
舊朗基爾區,Le Vieux-Longueuil,Canada
聖瑪麗伯恩都會自治市,Metropolitan Borough of St Marylebone,United Kingdom
安克拉治,Anchorage,United States of America
