label,entityLabel,countryLabel
韓國公路,Roads in South Korea,South Korea
省道,provincial road,People's Republic of China
都市雇用圈,Urban Employment Area,Japan
長命斜,Q61122,People's Republic of China
地级市,prefecture-level city,People's Republic of China
市町村,municipality of Japan,Japan
獨立市,independent city,Germany
天然林,ancient woodland,United Kingdom
瑞典城區,urban area of Sweden,Sweden
市町村道,Municipal road,Japan
厄立特里亚行政区划,region of Eritrea,Eritrea
挪威燈塔,Lighthouse in Norway,Norway
美國國家保護區列表,protected area of the United States,United States of America
三等站 (中国大陆),Q10866573,People's Republic of China
五等站 (中国大陆),Q10882065,People's Republic of China
乌克兰城市列表,cities of Ukraine,Ukraine
新英格蘭鎮,New England town,United States of America
公務員,protected area of Estonia,Estonia
葡萄牙的市,municipality of Portugal,Portugal
德國高速公路,German autobahn,Germany
菲律賓城市,city of the Philippines,Philippines
俄罗斯国家公园,national park of Russia,Russia
愛爾蘭省份,province of Ireland,Ireland
舊金山街區,neighborhood of San Francisco,United States of America
统合县市,consolidated city-county,United States of America
護國神社,Q1534477,Japan
鎮區 (新澤西州),township of New Jersey,United States of America
亞洲公路網,Asian Highway Network,Kazakhstan
亞洲公路網,Asian Highway Network,Singapore
亞洲公路網,Asian Highway Network,Kyrgyzstan
亞洲公路網,Asian Highway Network,Myanmar
亞洲公路網,Asian Highway Network,Nepal
亞洲公路網,Asian Highway Network,Pakistan
亞洲公路網,Asian Highway Network,Vietnam
亞洲公路網,Asian Highway Network,Turkey
亞洲公路網,Asian Highway Network,Russia
亞洲公路網,Asian Highway Network,Armenia
亞洲公路網,Asian Highway Network,Azerbaijan
亞洲公路網,Asian Highway Network,Georgia
亞洲公路網,Asian Highway Network,Japan
亞洲公路網,Asian Highway Network,India
亞洲公路網,Asian Highway Network,Iran
亞洲公路網,Asian Highway Network,Mongolia
具特殊科學價值地點,Site of Special Scientific Interest,United Kingdom
亞洲公路網,Asian Highway Network,Indonesia
亞洲公路網,Asian Highway Network,Tajikistan
亞洲公路網,Asian Highway Network,Bangladesh
亞洲公路網,Asian Highway Network,Malaysia
亞洲公路網,Asian Highway Network,Uzbekistan
瑞士的市镇,municipality of Switzerland,Switzerland
亞洲公路網,Asian Highway Network,Sri Lanka
亞洲公路網,Asian Highway Network,Afghanistan
亞洲公路網,Asian Highway Network,North Korea
亞洲公路網,Asian Highway Network,People's Republic of China
亞洲公路網,Asian Highway Network,Turkmenistan
亞洲公路網,Asian Highway Network,Cambodia
四等站 (中国大陆),Q10925238,People's Republic of China
巴黎的拱廊街,covered passages of Paris,France
獨立城市,independent city,United States of America
亞洲公路網,Asian Highway Network,Philippines
亞洲公路網,Asian Highway Network,Thailand
北達科他州鎮區列表,township of North Dakota,United States of America
地方当局,municipality of Norway,Norway
一等站 (中国大陆),Q10864029,People's Republic of China
亞洲公路網,Asian Highway Network,Laos
计划单列市,city specifically designated in the state plan,People's Republic of China
亞洲公路網,Asian Highway Network,Bhutan
亞洲公路網,Asian Highway Network,South Korea
列支敦士登行政区划,municipality of Liechtenstein,Liechtenstein
冰屋,igloo,United States of America
艾伯塔省城市列表,city in Alberta,Canada
號誌站,Q15921844,Taiwan
行省,historical province of France,France
菲律賓城鎮,municipality of the Philippines,Philippines
國家遺產走廊,National Heritage Area,United States of America
线型城市,Linear city,Spain
主要地方道,Principal local road,Japan
芝加哥行政區劃,community area in Chicago,United States of America
日本公路,Q11506120,Japan
加拿大国家公园,National Park of Canada,Canada
一般國道,national highway of Japan,Japan
深水埗區街道,Q11153266,People's Republic of China
料亭,Ryōtei,Japan
都道府縣立自然公園,prefectural natural park of Japan,Japan
二等站 (中国大陆),Q10880310,People's Republic of China
一等站 (台鐵),Q10864031,Taiwan
比利时直辖市,municipality of Belgium,Belgium
行政洞,dong,South Korea
大西洋沿岸森林,Atlantic Forest,Brazil
直辖市,municipiu of Romania,Romania
卡塞尔文献展,Documenta,Germany
靜岡淺間神社,Shizuoka Sengen Shrine,Japan
皇家森林,royal forest,United Kingdom
里,ri,South Korea
自治市,municipality of Iceland,Iceland
博物館群,National Museums of Thailand,Thailand
都道府縣道,prefectural road,Japan
綜合學校,comprehensive school,Germany
日本村庄,village of Japan,Japan
特等站,Top Class Station,Taiwan
美國國家公墓局,United States national cemetery,United States of America
镇（荷兰）,municipality of the Netherlands,Netherlands
市鎮 (智利),commune of Chile,Chile
香港幹線編號系統,Hong Kong Strategic Route and Exit Number System,People's Republic of China
古墳,kofun,Japan
黑海海峡,Turkish Straits,Turkey
狹谷,glen,United Kingdom
英雄城市 (蘇聯),Hero City,Soviet Union
瑞典自治市,municipality of Sweden,Sweden
日本地理區劃,list of regions of Japan,Japan
特等站,Top Class station,People's Republic of China
荒川線,Toden Arakawa Line,Japan
直辖市,direct-controlled municipality,People's Republic of China
县城,county seat,United States of America
國定公園,national park of Japan,Japan
日本島嶼,island of Japan,Japan
香港已消失海灣,Q15942175,People's Republic of China
普查规定居民点,census-designated place,United States of America
國家紀念區,National Monument of the United States,United States of America
舊金山-聖地牙哥城市帶,California megapolitan areas,United States of America
越南国家公园列表,national park of Vietnam,Vietnam
泰國國家公園列表,national park of Thailand,Thailand
鎮區,South African townships,South Africa
在日外國人墓地,Foreign cemeteries in Japan,Japan
匈牙利國家公園列表,national park of Hungary,Hungary
越南中央直轄市列表,municipality of Vietnam,Vietnam
马耳他行政区划,local council of Malta,Malta
省轄市 (越南),provincial city of Vietnam,Vietnam
地方自然保留區,local nature reserve,United Kingdom
