label,riverLabel,countryLabel
香波尔城堡,Château de Chambord,France
安根施泰因城堡,Angenstein Castle,Switzerland
沙滕城堡,Schattenburg,Austria
格朗松城堡,Grandson Castle,Switzerland
老城堡 (维罗纳),Castelvecchio,Italy
卡爾津城堡,Culzean Castle,United Kingdom
許邁格城堡,Sümeg Castle,Hungary
卡菲利城堡,Caerphilly Castle,United Kingdom
安布拉斯城,Ambras Castle,Austria
博特明根城堡,Bottmingen Castle,Switzerland
圣梅耶城堡,Château Saint-Maire,Switzerland
米哈伊洛夫宫,Saint Michael's Castle,Russia
爱丁堡城堡,Edinburgh Castle,United Kingdom
埃斯特城堡,Castello Estense,Italy
哥尼斯堡城堡,Königsberg Castle,Russia
蒙特索羅城堡,Château de Montsoreau,France
罗卡马杜,Rocamadour,France
百老匯塔,Broadway Tower,United Kingdom
圖爾庫城堡,Turku Castle,Finland
涅斯维日城堡,Nesvizh Castle,Belarus
貝佛瑞城堡,Peveril Castle,United Kingdom
夏亨狩猎行宫,King's House on Schachen,Germany
卡里斯布魯克城堡,Carisbrooke Castle,United Kingdom
埃爾茨城堡,Eltz Castle,Germany
塞维利亚王宫,Alcázar,Spain
丽芙城堡,Château du Rivau,France
松江城,Matsue Castle,Japan
謝韋爾尼城堡,Château de Cheverny,France
阿勒颇城堡,Citadel of Aleppo,Syria
基督教君主城堡,Alcázar de los Reyes Cristianos,Spain
Lichtenwörth,Lichtenwörth,Austria
克爾納韋,Kernavė,Lithuania
瓦杜茨城堡,Vaduz Castle,Liechtenstein
纽伦堡城堡,Nuremberg Castle,Germany
利沃利城堡,Castle of Rivoli,Italy
格吕耶尔城堡,Gruyères Castle,Switzerland
新天鹅堡,Neuschwanstein Castle,Germany
哈姆巴赫城堡,Hambach Castle,Germany
彥根城,Hikone Castle,Japan
高知城,Kōchi Castle,Japan
施特恩貝克城堡,Český Šternberk Castle,Czech Republic
約克城,York Castle,United Kingdom
赫爾曼城堡,Hermann Castle,Estonia
布拉格城堡,Prague Castle,Czech Republic
皮耶枫城堡,castle of Pierrefonds,France
阿尔滕堡修道院,Altenburg Abbey,Austria
巴黎古监狱,Conciergerie,France
瓦伦蒂诺城堡,Castello del Valentino,Italy
巴姆古城,Arg-é Bam,Iran
阿兰布拉宫,Alhambra,Spain
舍農索城堡,Château de Chenonceau,France
丸龜城,Marugame Castle,Japan
威廉高地宮,Schloss Wilhelmshöhe,Germany
贝利韦尔城堡,Bellver Castle,Spain
格拉茨城堡,castle of Graz,Austria
鷹堡,Habsburg Castle,Switzerland
伦敦塔,Tower of London,United Kingdom
里加城堡,Riga Castle,Latvia
钓鱼城遗址,Diaoyu Fortress,People's Republic of China
斯福尔扎古堡,Sforza Castle,Italy
卡尔什特因城堡,Karlštejn castle,Czech Republic
希依城堡,Château de Chinon,France
布拉尼城堡,Blarney Castle,Ireland
格利普霍姆堡,Gripsholm Castle,Sweden
萨尔茨堡主教宫,Salzburg Residenz,Austria
大马士革城堡,Citadel of Damascus,Syria
新宫殿,Neue Residenz Bamberg,Germany
卡里姆汗堡,Arg of Karim Khan,Iran
布莱德城堡,Bled Castle,Slovenia
布尔齐城堡,Bourtzi,Greece
霍夫堡皇宮,Hofburg Palace,Austria
特利維城堡,Threave Castle,United Kingdom
布达城堡,Buda Castle,Hungary
溫莎城堡,Windsor Castle,United Kingdom
蓋拉德堡,Château Gaillard,France
昂布瓦斯城堡,Château d'Amboise,France
布格多夫城堡,Burgdorf Castle,Switzerland
三王冠堡,Tre Kronor,Sweden
切斯特城堡,Chester Castle,United Kingdom
拉萨拉城堡,La Sarraz Castle,Switzerland
阿倫德爾城堡,Arundel Castle,United Kingdom
瓦爾特堡,Wartburg,Germany
霍亨索伦城堡,Hohenzollern Castle,Germany
奧拉維城堡,Olavinlinna,Finland
斯塔萊克城堡,Stahleck Castle,Germany
法丁斯坦堡,Burg Veldenstein,Germany
卡那封城堡,Caernarfon Castle,United Kingdom
薩拉丁堡,Citadel of Salah Ed-Din,Syria
格罗德诺新城堡,New Hrodna Castle,Belarus
中城城,Nakagusuku Castle,Japan
長濱城 (近江國),Nagahama Castle,Japan
紹蒙城堡,Château de Chaumont,France
科文城堡,Corvin Castle,Romania
莫里茨堡,Moritzburg,Germany
瓦維爾城堡,Wawel Castle,Poland
維安登城堡,Vianden Castle,Luxembourg
比斯頓城堡,Beeston Castle,United Kingdom
林肯城堡,Lincoln Castle,United Kingdom
卡尔卡松城堡,Cité de Carcassonne,France
朗塞斯頓城堡,Launceston Castle,United Kingdom
施托卡尔珀城堡,Stockalper Palace,Switzerland
布兰城堡,Bran Castle,Romania
柏廷斯坦堡,Fort Batenstein,Ghana
拉科尼吉城堡,Castle of Racconigi,Italy
马尔堡城堡,Malbork Castle,Poland
斯皮爾博城堡,Špilberk Castle,Czech Republic
科爾切斯特城堡,Colchester Castle,United Kingdom
哈萊克城堡,Harlech Castle,United Kingdom
普莱森堡,Pleissenburg,Germany
孤独城堡,Castle Solitude,Germany
亞伯城堡,Aberystwyth Castle,United Kingdom
尼特拉城堡,Nitra Castle,Slovakia
洞窟城堡,Predjama Castle,Slovenia
巴爾莫勒爾城堡,Balmoral Castle,United Kingdom
洛克維茲宮,The Lobkowicz Palace,Czech Republic
菲特烈堡,Frederiksborg Palace,Denmark
蒙茅斯城堡,Monmouth Castle,United Kingdom
因斯布鲁克皇宫,Hofburg,Austria
撒肋爵堡,Château de Sales,France
沃爾丁堡城堡,Vordingborg Castle,Denmark
米拉马雷城堡,Miramare,Italy
海門城堡,Häme Castle,Finland
尚特卢城堡,Château de Chanteloup,France
維朗德里城堡,Château de Villandry,France
懷爾島,"Wyre, Orkney",United Kingdom
迪襟莊園,Château d'Yquem,France
尼永城堡,Nyon Castle,Switzerland
维夫朗城堡,Vufflens Castle,Switzerland
布羅迪城堡,Brodie Castle,United Kingdom
沃伊達奇城堡,Vajdahunyad Castle,Hungary
米尔城堡群,Mir Castle Complex,Belarus
摩尔人城堡 (辛特拉),Castle of the Moors,Portugal
城堡剧院,Burgtheater,Austria
克隆堡,Kronborg,Denmark
於塞城堡,Château d'Ussé,France
金博爾頓城堡,Kimbolton Castle,United Kingdom
馬約卡王宮,Palace of the Kings of Majorca,France
图恩城堡,Thun Castle,Switzerland
布容城堡,Bouillon Castle,Belgium
林利思哥宫,Linlithgow Palace,United Kingdom
卑爾根要塞,Bergenhus Fortress,Norway
如梅利堡垒,Rumelihisarı,Turkey
朗熱城堡,Château de Langeais,France
叙普林根堡,Süpplingenburg,Germany
丸岡城,Maruoka Castle,Japan
布拉迪斯拉发城堡,Bratislava Castle,Slovakia
文森城堡,Château de Vincennes,France
波达尔斯城堡,Château de Pourtalès,France
城堡山,Schlossberg,Austria
卡诺莎城堡,Canossa Castle,Italy
Loarre城堡,Loarre Castle,Spain
伯爵城堡,Gravensteen,Belgium
哈爾頓城堡,Halton Castle,United Kingdom
普法爾茨城堡,Pfalzgrafenstein Castle,Germany
萨尔茨堡要塞,Hohensalzburg Castle,Austria
江戶城,Edo Castle,Japan
斯福爾扎堡（維傑瓦諾）,Q3662375,Italy
康威城堡,Conwy Castle,United Kingdom
新堡,Castel Nuovo,Italy
加夫恩島,Gavnø,Denmark
拉罗谢波城堡,Château de la Rochepot,France
圖雷達城堡,Turaida Castle,Latvia
沃爾默城堡,Walmer Castle,United Kingdom
洛什城堡,Château de Loches,France
斯特靈城堡,Stirling Castle,United Kingdom
卡魯城堡,Carew Castle,United Kingdom
烏普薩拉城堡,Uppsala Castle,Sweden
貝特茨多爾夫堡,Betzdorf Castle,Luxembourg
博爾索弗城堡,Bolsover Castle,United Kingdom
法維城堡,Fyvie Castle,United Kingdom
班伯城堡,Bamburgh Castle,United Kingdom
約翰王城堡,King John's Castle,Ireland
盧比安納城,Ljubljana Castle,Slovenia
馬諾比爾城堡,Manorbier Castle,United Kingdom
卡萊爾城堡,Carlisle Castle,United Kingdom
聖塞巴斯蒂安堡,Fort San Sebastian,Ghana
孔代城堡,Château de Condé,France
敦巴頓城堡,Dumbarton Castle,United Kingdom
廷塔哲城堡,Tintagel Castle,United Kingdom
維斯康蒂城堡,Visconteo Castle,Switzerland
凱尼爾沃思城堡,Kenilworth Castle,United Kingdom
赫盧博卡城堡,Hluboká Castle,Czech Republic
維維日城堡,Veveří Castle,Czech Republic
多爾威澤蘭城堡,Dolwyddelan Castle,United Kingdom
馬克里城堡,Markree Castle,Ireland
梅索拉城堡,Q3662691,Italy
博馬里斯城堡,Beaumaris Castle,United Kingdom
克里比城堡,Château de Quéribus,France
鄧羅賓城堡,Dunrobin Castle,United Kingdom
彭布羅克城堡,Pembroke Castle,United Kingdom
敘利城堡,Château de Sully-sur-Loire,France
佩科夫頓城堡,Peckforton Castle,United Kingdom
阿拉贡城堡,Aragonese Castle,Italy
貝爾沃城堡,Belvoir Castle,United Kingdom
貝納得堡,Baynard's Castle,United Kingdom
列支敦士登城堡,Liechtenstein Castle,Austria
庫夫施泰因城堡,Kufstein Fortress,Austria
岩村城,Iwamura Castle,Japan
